Engelska 5,ENGENG05,50,BFF15
Historia 1a1,HISHIS01a1,50,BFF15
Idrott och hälsa 1,IDRIDR01,50,BFF15
Matematik 1a,MATMAT01a,100,BFF15
Naturkunskap 1a1,NAKNAK01a1,50,BFF15
Samhällskunskap 1a1,SAMSAM01a1,50,BFF15
Svenska/Svenska som andra språk 1,SVESVE01,100,BFF15
Kommunikation,PEDKOU0,100,BFF15
Lärande och utveckling,PEDLÄR0,100,BFF15
Pedagogiskt ledarskap,PEDPEG0,100,BFF15
Kost och hälsa,HÄLKOC0,100,BFF15
Engelska 5,ENGENG05,50,BFFYRK15
Historia 1a1,HISHIS01a1,50,BFFYRK15
Idrott och hälsa 1,IDRIDR01,50,BFFYRK15
Matematik 1a,MATMAT01a,100,BFFYRK15
Naturkunskap 1a1,NAKNAK01a1,50,BFFYRK15
Samhällskunskap 1a1,SAMSAM01a1,50,BFFYRK15
Svenska/Svenska som andra språk 1,SVESVE01,100,BFFYRK15
Kommunikation,PEDKOU0,100,BFFYRK15
Lärande och utveckling,PEDLÄR0,100,BFFYRK15
Pedagogiskt ledarskap,PEDPEG0,100,BFFYRK15
Kost och hälsa ,HÄLKOC0,100,BFFYRK15
Engelska 5,ENGENG05,50,BFP15
Historia 1a1,HISHIS01a1,50,BFP15
Idrott och hälsa 1,IDRIDR01,50,BFP15
Matematik 1a,MATMAT01a,100,BFP15
Naturkunskap 1a1,NAKNAK01a1,50,BFP15
Samhällskunskap 1a1,SAMSAM01a1,50,BFP15
Svenska/Svenska som andra språk 1,SVESVE01,100,BFP15
Kommunikation,PEDKOU0,100,BFP15
Lärande och utveckling,PEDLÄR0,100,BFP15
Pedagogiskt ledarskap,PEDPEG0,100,BFP15
Kost och hälsa,HÄLKOC0,100,BFP15